,№,Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
76,77,Low German,Plattdüütsch,nds,84199,165062,996022,4,51209,52,0,5
77,78,Malayalam,മലയാളം,ml,83629,508018,3836738,15,171396,261,7096,194
78,79,Telugu,తెలుగు,te,82991,324351,3862851,14,121147,183,14141,100
79,80,Belarusian (Taraškievica orthography),беларуская (тарашкевіца),be-tarask,82804,236547,2391305,4,80413,123,1984,34
80,81,Kyrgyz,кыргызча,ky,80350,110430,444791,2,36293,72,2686,0
81,82,Breton,brezhoneg,br,79836,150703,2044321,6,74166,85,5304,10
82,83,Swahili,Kiswahili,sw,77270,163780,1280814,18,60888,172,2286,9
83,84,Javanese,Jawa,jv,72490,182167,1630876,5,57547,79,5452,20
84,85,Newari,नेपाल भाषा,new,72348,166268,865983,2,26286,15,0,8
85,86,Lombard,lombard,lmo,70989,141910,1185321,5,40280,60,4437,8
86,87,Western Punjabi,پنجابی,pnb,69583,121631,624522,2,34915,65,93,2
87,88,Venetian,vèneto,vec,69163,141240,1110075,4,33883,37,724,8
88,89,Haitian Creole,Kreyòl ayisyen,ht,68460,83742,821530,3,30569,74,0,0
89,90,Piedmontese,Piemontèis,pms,67887,103429,866413,4,26454,42,2069,2
90,91,Bashkir,башҡортса,ba,62898,176906,1239624,7,37973,90,1500,23
91,92,Luxembourgish,Lëtzebuergesch,lb,61755,134573,2449051,6,57988,70,2383,25
92,93,Sundanese,Sunda,su,61508,97918,655915,6,29858,54,545,2
93,94,Kurdish,kurdî,ku,59194,117562,1175256,3,55517,84,564,9
94,95,Irish,Gaeilge,ga,58584,99722,1136137,7,56237,80,1157,5
95,96,Silesian,ślůnski,szl,56999,70733,354921,3,23204,48,0,0
96,97,Icelandic,íslenska,is,56718,146996,1804358,19,91535,151,3229,31
97,98,Western Frisian,Frysk,fy,51464,157427,1118898,8,45933,92,7738,30
98,99,Chuvash,чӑвашла,cv,51148,103626,791708,2,32941,42,537,8
99,100,Punjabi,ਪੰਜਾਬੀ,pa,49840,159374,683677,10,45582,125,1849,20
100,101,Central Kurdish,کوردی,ckb,49757,205275,1077971,8,56372,150,1982,51
101,102,Tagalog,Tagalog,tl,44777,238157,2015499,11,132051,180,1896,157
102,103,Aragonese,aragonés,an,43728,133881,1942599,6,72548,69,1570,61
103,104,Wu Chinese,吴语,wuu,42858,57133,303265,4,82784,48,132,0
104,105,Zazaki,Zazaki,diq,40422,61259,519779,3,26484,25,199,2
105,106,Ido,Ido,io,37611,55708,1015488,5,35675,62,0,4
106,107,Scots,Scots,sco,36148,140435,873778,3,102722,85,671,51
107,108,Volapük,Volapük,vo,33578,149843,3285119,2,33793,36,0,262
108,109,Yoruba,Yorùbá,yo,32647,56556,565866,3,26700,89,166,5
109,110,Nepali,नेपाली,ne,31706,106605,1141339,6,62605,88,1294,59
110,111,Interlingua,interlingua,ia,30250,44965,655993,6,47391,32,4,3
111,112,Gujarati,ગુજરાતી,gu,30172,123131,844633,3,73710,57,0,65
112,113,Kannada,ಕನ್ನಡ,kn,29982,134635,1165873,4,81065,112,2314,105
113,114,Swiss German,Alemannisch,als,29791,71802,1032969,9,97882,92,579,28
114,115,Kotava,Kotava,avk,27522,33523,136994,6,4063,27,0,0
115,116,Bavarian,Boarisch,bar,26908,109313,836311,3,66566,65,1321,71
116,117,Sicilian,sicilianu,scn,26242,55877,735892,3,43133,40,1407,16
117,118,Hausa,Hausa,ha,25938,44526,259959,7,22450,113,0,2
118,119,Crimean Tatar,qırımtatarca,crh,25456,46939,204198,2,19321,30,0,3
119,120,Bishnupriya,বিষ্ণুপ্রিয়া মণিপুরী,bpy,25087,63281,890844,2,24406,14,45,32
120,121,Quechua,Runa Simi,qu,23669,57022,657206,2,28546,49,0,22
121,122,Navajo,Diné bizaad,nv,22245,36793,305253,2,16244,17,735,3
122,123,Mongolian,монгол,mn,22093,99801,729767,3,83973,111,1362,90
123,124,Mingrelian,მარგალური,xmf,20160,37274,199091,5,18301,29,0,3
124,125,Balinese,Basa Bali,ban,19164,37721,154069,4,7142,29,116,3
125,126,Sinhala,සිංහල,si,19080,87696,552298,3,63069,91,3035,81
126,127,Pashto,پښتو,ps,17655,59903,296509,1,30163,40,1738,28
127,128,Northern Frisian,Nordfriisk,frr,17357,44142,248713,4,19092,25,1486,13
128,129,Samogitian,žemaitėška,bat-smg,17150,29693,358892,4,25101,22,109,6
129,130,Ossetic,ирон,os,17032,63168,535970,3,23674,27,158,62
130,131,Odia,ଓଡ଼ିଆ,or,16765,74701,482955,6,33319,47,176,77
131,132,Yakut,саха тыла,sah,16517,49747,396453,3,23654,39,1765,32
132,133,Min Dong Chinese,閩東語 / Mìng-dĕ̤ng-ngṳ̄,cdo,16221,32710,99449,4,20233,22,0,3
133,134,Scottish Gaelic,Gàidhlig,gd,15929,32220,572928,5,26948,27,347,18
134,135,Buginese,ᨅᨔ ᨕᨘᨁᨗ,bug,15825,20095,202085,1,12919,16,0,0
135,136,Mazanderani,مازِرونی,mzn,15525,34151,176210,4,33271,32,266,7
136,137,Yiddish,ייִדיש,yi,15510,44409,587121,3,48391,41,1062,45
137,138,Sindhi,سنڌي,sd,15470,56714,243392,4,17027,32,148,30
138,139,Iloko,Ilokano,ilo,15378,70263,399041,2,16900,21,0,72
139,140,Amharic,አማርኛ,am,15198,46164,375652,1,43219,52,1778,33
140,141,Igbo,Igbo,ig,15123,22672,112891,4,16204,113,0,1
141,142,Neapolitan,Napulitano,nap,14778,23842,666485,3,29112,26,287,10
142,143,Limburgish,Limburgs,li,14304,66416,459268,7,27811,28,623,91
143,144,Faroese,føroyskt,fo,13923,40536,372055,3,28486,28,0,33
144,145,Gorontalo,Bahasa Hulontalo,gor,13902,21835,52546,2,4760,22,0,0
145,146,Upper Sorbian,hornjoserbsce,hsb,13891,35526,381094,4,24103,25,129,26
146,147,Basa Banyumasan,Basa Banyumasan,map-bms,13879,30344,214379,1,15650,23,462,9
147,148,Maithili,मैथिली,mai,13752,40531,234062,5,12882,25,115,21
148,149,Central Bikol,Bikol Central,bcl,13719,38501,249247,2,21432,43,865,21
149,150,Tumbuka,chiTumbuka,tum,13217,24186,73886,4,7741,16,73,2
150,151,Emiliano-Romagnolo,emiliàn e rumagnòl,eml,13032,35219,154953,3,24762,31,2743,12
151,152,Shan,ၽႃႇသႃႇတႆး,shn,12801,30079,59955,2,3786,14,61,3
152,153,Achinese,Acèh,ace,12734,26762,145067,3,25717,26,0,6
153,154,Literary Chinese,文言,zh-classical,12424,101689,391252,6,97968,60,0,198
154,155,Sanskrit,संस्कृतम्,sa,12050,73031,477134,3,37544,49,445,167
155,156,Assamese,অসমীয়া,as,11802,86287,366967,5,37489,119,1776,169
156,157,Walloon,walon,wa,11786,27918,394783,4,23408,28,632,26
157,158,Interlingue,Interlingue,ie,11635,15560,154909,2,18345,35,0,1
158,159,Ligurian,Ligure,lij,11130,26838,240185,7,15432,26,9,17
159,160,Zulu,isiZulu,zu,10990,24634,101448,1,19182,45,0,6
160,161,Eastern Mari,олык марий,mhr,10900,28466,189970,1,13836,23,0,17
161,162,Western Armenian,Արեւմտահայերէն,hyw,10741,22640,200590,5,8747,36,0,10
162,163,Fiji Hindi,Fiji Hindi,hif,10666,45228,292697,4,31621,50,192,67
163,164,Shona,chiShona,sn,10518,19255,106434,1,16674,29,0,3
164,165,Western Mari,кырык мары,mrj,10431,19309,103520,1,10467,15,0,3
165,166,Banjar,Banjar,bjn,10280,29286,87670,3,13573,30,2,10
166,167,Manipuri,ꯃꯤꯇꯩ ꯂꯣꯟ,mni,10221,16431,50755,2,3212,15,0,1
167,168,Khmer,ភាសាខ្មែរ,km,10161,34514,296623,6,39253,60,1035,49
168,169,Hakka Chinese,客家語/Hak-kâ-ngî,hak,10079,19390,127054,1,31602,24,0,5
169,170,Somali,Soomaaliga,so,9549,27290,252326,1,35037,80,0,31
170,171,Tarantino,tarandíne,roa-tara,9320,18051,144877,3,11230,14,178,7
171,172,Pampanga,Kapampangan,pam,8909,21524,296488,2,20271,22,403,27
172,173,Rusyn,русиньскый,rue,8654,18808,136713,1,27523,33,87,10
173,174,Northern Sotho,Sesotho sa Leboa,nso,8548,10852,50296,1,6386,20,0,0
174,175,Bhojpuri,भोजपुरी,bh,8396,72932,750186,2,32400,40,53,607
175,176,Santali,ᱥᱟᱱᱛᱟᱲᱤ,sat,8310,18900,113719,3,6701,37,0,9
176,177,Northern Sami,davvisámegiella,se,7842,20928,302086,5,27677,28,0,40
177,178,Māori,Māori,mi,7804,14244,161350,2,17827,22,0,7
178,179,Erzya,эрзянь,myv,7803,27982,143429,4,12443,18,0,34
179,180,West Flemish,West-Vlams,vls,7781,21612,312426,5,25860,25,480,45
180,181,Low Saxon,Nedersaksies,nds-nl,7662,20667,323387,6,27103,32,569,45
181,182,Sardinian,sardu,sc,7399,16732,179973,4,23379,31,151,17
182,183,Cornish,kernowek,kw,7016,14362,211354,2,14714,23,6,16
183,184,Veps,vepsän kel’,vep,6843,33229,159794,1,15174,20,0,71
184,185,Dagbani,dagbanli,dag,6823,10690,64406,1,2771,39,0,1
185,186,Gilaki,گیلکی,glk,6815,14300,64541,4,15158,15,808,5
186,187,Turkmen,Türkmençe,tk,6697,16359,239718,3,26692,38,335,30
187,188,Kabyle,Taqbaylit,kab,6695,16352,107918,2,12878,21,0,13
188,189,Moroccan Arabic,الدارجة,ary,6681,56807,278683,7,9343,71,117,276
189,190,Gan Chinese,贛語,gan,6610,33729,395856,1,40162,20,57,197
190,191,Nāhuatl,Nāhuatl,nah,6609,18536,519216,3,21647,22,168,91
191,192,Tibetan,བོད་ཡིག,bo,6582,18197,141479,1,28143,25,0,24
192,193,Corsican,corsu,co,6559,15242,384311,2,21189,28,0,44
193,194,Võro,võro,fiu-vro,6494,12339,178733,4,13806,28,50,11
194,195,Abkhazian,аԥсшәа,ab,6073,22067,126354,2,18980,22,9,39
195,196,Kinyarwanda,Ikinyarwanda,rw,5985,13286,95331,1,12231,33,0,10
196,197,Manx,Gaelg,gv,5941,23847,319513,3,19252,17,184,121
197,198,Uyghur,ئۇيغۇرچە / Uyghurche,ug,5865,15412,157396,1,21063,27,0,27
198,199,Zeelandic,Zeêuws,zea,5736,10748,128869,3,12712,22,1,9
199,200,Saraiki,سرائیکی,skr,5717,6567,28961,2,1880,19,0,0
200,201,Arpitan,arpetan,frp,5671,16157,219411,2,15675,16,0,46
201,202,Udmurt,удмурт,udm,5594,18505,123479,3,14534,21,9,35
202,203,Picard,Picard,pcd,5530,10730,69779,3,16784,20,50,5
203,204,Komi,коми,kv,5506,17379,141796,1,13950,20,0,37
204,205,Kashubian,kaszëbsczi,csb,5452,8759,187539,3,16178,22,0,7
205,206,Maltese,Malti,mt,5363,19927,290119,5,21511,33,723,107
206,207,Guarani,Avañe'ẽ,gn,5272,12520,125589,2,17662,24,0,18
207,208,Inari Sami,anarâškielâ,smn,5081,16747,84038,7,3170,19,0,26
208,209,Aymara,Aymar aru,ay,5058,8684,96066,1,16094,25,0,5
209,210,Norman,Nouormand,nrm,4848,10414,219631,2,12923,15,0,27
